n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n
1992.1,2166.1,2292.9,2514.2,2674,2799.1,2986.9,3141.1,3300.8,NaN,NaN,3639.9,NaN,3843.7,4004.5,4180.5,4403.3,4530.7,4645.2,4834.3,4990.1,5158.3,NaN,NaN,5500,NaN,5705.9,5869,6048.8,6344.7,6475.8,6587.8,6775.1,NaN,6977.3,7139,7313.3,7535.9,7660.3,7773.4,7960.3,NaN,8164.1,8326.7,8493.4,8717.8,8851.1,8967.5,9159.9,NaN,9365.5,9528.2,9721.8,NaN,NaN,10061,NaN,10266,10433,10604,10834,10962,11081,11286,11440
2056.6,2229.3,2400,2577.6,2745.6,2923.3,3079.7,3236.2,NaN,NaN,3575.5,NaN,3792.9,3939.5,4104.6,4358.1,4493.1,4605.6,4769,4932.1,5092.6,NaN,NaN,5417.3,NaN,5650.2,5808.6,5970.5,6227.7,6412.5,6549.4,6710.7,NaN,6925.9,7082.5,7240.4,7494.2,7610.3,7731.7,7896.6,NaN,8111.2,8265.1,8427.3,8674.4,8791.4,8926.3,9088.2,NaN,9312,9467.1,9629.4,NaN,NaN,9975.3,NaN,10216,10369,10536,10788,10906,11037,11203,11361,11485
