x,n,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n,n,n,n,e,c,x,g,n,n,e,c,x,d,m,p,n,n
1976.1,3442.3,3607.7,NaN,NaN,3996.3,4170,4291.3,4493.7,4634.8,4745.6,4918.6,NaN,5110.7,5259.7,5419.6,5626.6,5747.5,5855.9,6037,6184.7,6339.9,NaN,NaN,6660.2,NaN,6853.4,7009.9,7174.9,7385.9,7509.6,7615.8,7793.2,7944.6,8103.9,NaN,NaN,8567.7,8857.4,8967.8,9148,NaN,9338.4,9488.1,9647,9854.7,9975.8,10083,10262,NaN,10450,10605,10830,11184,11432,11569,11679,11853,12002,12154,12365,12482,12591,12766,12918,13072,NaN,NaN,13474,13612
2097.8,3507.6,NaN,NaN,3850.2,4066.4,4248,4411.4,4564.9,4714.5,4860.9,NaN,5064,5211.8,5353,5590.7,5697.3,5821.4,5973.9,6131.1,6282.8,NaN,NaN,6591.3,NaN,6808.3,6963.4,7105.1,7349.3,7456.4,7581.2,7739.5,7896.8,8045.9,NaN,NaN,8355.9,8762.7,8927.7,9088.7,NaN,9290.3,9437.6,9583.2,9820.5,9923.5,10049,10203,NaN,10406,10550,10704,10933,11365,11504,11640,11796,11947,12101,12325,12435,12553,12709,12858,13011,NaN,NaN,13327,13539,13663
