n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1997.2,2151.3,2262.4,2441.4,NaN,2639.7,2793.4,2959,3175.7,3298.1,3409.4,3595.2,NaN,3792.2,3947,4131.1,NaN,NaN,4453,NaN,4653,4809.1,4974.6,5189.5,5314.2,5424.9,5608.7,NaN,5807.8,5966.3
2063.2,2229.1,2384.5,NaN,2589.5,2737.6,2893,3133.8,3248.9,3371.9,3530,NaN,3738.3,3887.1,4045.5,NaN,NaN,4383.1,NaN,4601.5,4747.8,4908.9,5150.5,5279.5,5388.5,5545.3,NaN,5758.3,5907.3,6067.4
