n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n,n,e,a,b,c
1977.3,2228.2,2650,2769.9,2932.5,3136.6,3287.2,3516.4,3698.7,3824.3,4039.5,4223.1,4345.2,4540.7,4695.6,4863.8,NaN,NaN,5212.3,NaN,5420.7,5576.9,5761.6,5991.3,6117.6,6230.9,6668.5,6876,6991.8,7196.8,7351.9,7511.8,NaN,NaN,7852.8,NaN,8056.1,8216.9,8392.4,8612.4,8742.7,8856.3,9039.1,NaN,9243.3,9404.5,9577.3,NaN,NaN,9931.5,10073,10184,10371,10532,10705,NaN,NaN,11056,NaN,11260,11420,11587,11814,11943,12055,12244,NaN,12451,12612,12796,13017,13148,13263,13448,NaN,13654,13836,13954,14140,14297,14472,NaN,NaN,14841,14982,15101,15299,NaN,15504,15669,15857,16082,16211,16327,16521,NaN,16729,16892,17220,17368,17486,17683,NaN,17893
2020.6,2288.2,2703.2,2844.8,2997.8,3208.8,3351,3587.8,3767.8,3932.4,4106.6,4295.3,4464.8,4645.2,4797,NaN,NaN,5118.9,NaN,5362.1,5519,5675.1,5944.8,6060.7,6190.7,6350.7,6741.9,6948.1,7118.4,7290.6,7463.7,NaN,NaN,7767.2,NaN,8003.1,8182.8,8314.8,8570.8,8684.9,8816.7,8977.3,NaN,9189.3,9342.2,9505,NaN,NaN,9833.6,9999.3,10147,10306,10496,10635,NaN,NaN,10967,NaN,11207,11368,11538,11770,11885,12017,12178,NaN,12401,12551,12715,12975,13089,13222,13386,NaN,13602,13764,13916,14077,14241,14403,NaN,NaN,14728,14910,15057,15230,NaN,15445,15611,15770,16037,16150,16286,16451,NaN,16675,16832,16995,17302,17443,17612,NaN,17834,17985
