n,n,n,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1866.3,1990.3,2144.3,2365.2,2537.5,2665.1,2886.8,3056.4,3182.5,3402,3551.6,3676.6,3866.9,4022.6,4201.1,4420.9,4544.3,4655.4,4836.2,4993.3,5156.1,NaN,NaN,5494.5,NaN,5692.5,5848.4,6009.8,6233.5,6356.8,6468.4,6660.4,NaN,6856.5,7014.8,7184.7,NaN,NaN,7523.4,NaN,7727.1,7883.8,8054,8341.2,8490.9,8604.5,8785.7,8941.8,9106.4,NaN,NaN,9438.7,NaN,9640,9797.4,9960.1,10179,10301,10416,10654,10834,10946,11116,11284,11447,NaN,NaN,11783,NaN,11982
1915.7,2052.5,2200.9,2428.4,2598.5,2765,2950.6,3127.4,3290.1,3466.2,3625.8,3793.1,3963.9,4116.8,4376.2,4489.7,4615.2,4773.6,4946.2,5090.7,NaN,NaN,5409.7,NaN,5639.2,5790.3,5946.9,6187.5,6304.2,6430.1,6590.8,NaN,6808.5,6961.6,7114.2,NaN,NaN,7442.8,NaN,7670,7832.4,7977.5,8230.7,8412.7,8566.9,8728.8,8891.9,9043,NaN,NaN,9366.5,NaN,9588.6,9742,9893.5,10140,10251,10376,10537,10721,10907,11068,11234,11387,NaN,NaN,11706,NaN,11932,12059
