n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,n,n,n,e,c,x,d,m,p,a,b,c
1856.3,1989.5,2126.9,2370.3,2543.5,2679.5,2959,3479.5,3641.2,3772.2,3996.6,4151.4,4271.7,4471.9,4634.8,4792.4,NaN,NaN,5145.2,NaN,5347.1,5504.8,5681.1,5903.4,6031.6,6144.1,6337.8,6494.2,6663.9,NaN,NaN,7020.4,7175.7,7285.3,7485.5,7641.8,7824.5,8043.2,8167.4,8277.2,8468.9,NaN,8671.2,8828.5,9009.7,9232.7,9361.2,9481.3,9687.9,NaN,9888.8,10046,10216,NaN,NaN,10563,NaN,10765,10935,11336,11472,11584,11767,11925,12126,NaN,NaN,12466,NaN,12667
1904.5,2045,2183,2432.8,2606.7,2778.7,3025.7,3577.4,3715,3882.1,4067.2,4229.4,4395.9,4546.8,4723.3,NaN,NaN,5043.1,NaN,5297,5452.4,5601,5858.6,5975.3,6104.4,6266,6442.6,6594.1,NaN,NaN,6916.2,7089,7247.3,7408.4,7588,7742.3,8004.4,8114.5,8240.4,8401.1,NaN,8618.3,8774.4,8924.1,9191.8,9305.3,9435.9,9603.7,NaN,9837.5,9991.5,10145,NaN,NaN,10469,NaN,10714,10873,10978,11404,11546,11707,11871,12025,NaN,NaN,12385,NaN,12617,12753
