n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n
1984.2,2072.6,3054.6,3194,3357.3,3465.4,3676.2,3822.3,3935.5,4127.5,4273.3,4380.3,4561.4,4710.2,4867.6,NaN,NaN,5178.2,NaN,5374,5525.7,5686,5898.7,6015.5,6125.8,6311,6462.3,6629.7,6843.1,6966.3,7074.1,7271.1,7403.5,7513.7,7703.7,7855,8018.1,NaN,NaN,8343.9,NaN,8543.7,8700.3,8859.7,9075.7,9196.6,9306.6,9487.9,NaN,9685.8,9843.9,10010,10227,10350,10460,10646,10798,10971,NaN,NaN,11300,NaN,11497,11661,11838,12062,12184,12296,12503,12635,12746,12927,13084,13262,NaN,NaN,13607,NaN,13806,13972,14167
2039.9,2116.8,3134.5,3263.3,3426.3,3567.4,3743.7,3894.1,4052.7,4197.8,4348.3,4500,4655.3,4801.7,NaN,NaN,5109.1,NaN,5324.2,5474.9,5618.8,5858.8,5968.9,6089.4,6246.5,6400.8,6556.5,6799.9,6912.3,7039.6,7196.7,7341.8,7477.1,7632.5,7822.6,7951.5,NaN,NaN,8268,NaN,8491,8636.1,8797.7,9032.8,9142.8,9269.2,9425.1,NaN,9633.2,9786.5,9937.1,10182,10299,10425,10578,10739,10898,NaN,NaN,11216,NaN,11446,11590,11755,12014,12129,12257,12413,12568,12710,12864,13020,13182,NaN,NaN,13511,NaN,13750,13904,14067,14214
