n,n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,n,n,e,c,x,d,m,p,a,b,c
1989,2158.5,2615.6,2753.7,2903.4,3117.2,3300.4,3440.3,3688.3,3879.5,4020.9,4241,4429.3,4568.1,4781.5,4945,5070.5,5264.3,5420.7,5578.1,NaN,NaN,5939.1,NaN,6145.1,6306,6492.9,6726.9,6854.3,6970.6,7165.1,7326.3,7497.3,NaN,NaN,7845.3,NaN,8052.4,8217.5,8396.9,8624.4,8756.1,8869.9,9059.7,NaN,9262.8,9423.5,9606.5,NaN,NaN,9981.4,NaN,10187,10357,10540,10765,10895,11009,11202,11360,11555,NaN,NaN,11935,12779,12946,13062,13248,13407,13578,NaN,NaN,13938,NaN,14147,14306,14490,14717,14855,14970,15180,15330,15449,15642,NaN,15850,16072,16227,16342,16526,16685,16899,NaN,NaN,17240,NaN,17448
2051.5,2196.1,2674.3,2823,2961.9,3182.3,3362.8,3546,3757.8,3947.4,4129.3,4310.1,4499.4,4679,4848.8,5020.4,5185.6,5362.4,5520.2,NaN,NaN,5834,NaN,6091.5,6250,6404.4,6673.1,6795.4,6924.8,7089.9,7263.6,7425.6,NaN,NaN,7753.6,NaN,7995.8,8148.2,8317.2,8580.1,8696.6,8827.3,8993.8,NaN,9211.8,9367,9523.8,NaN,NaN,9875.6,NaN,10136,10286,10457,10723,10837,10967,11127,11302,11457,NaN,NaN,11807,12003,12847,13023,13187,13352,13507,NaN,NaN,13838,NaN,14088,14250,14408,14670,14790,14927,15091,15250,15401,15572,NaN,15796,15959,16142,16298,16460,16622,16784,NaN,NaN,17163,NaN,17394,17529
