n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,g,n,n,e,n
1979.2,2127.8,2261.1,2485,2690.6,2817.3,3032.5,3204.7,3322.6,3518.3,3672.7,3841.9,NaN,NaN,4187.4,NaN,4397.3,4550.7,4724.3,4947.1,5074.3,5187.5,5381.6,5536.4,5699.4,NaN,NaN,6038,NaN,6237.5,6464.6,6609.2,6722,6913.1,7066.6,7246.3,7465.4,7589.4,7702.8,7921.2,8059.8,8170.8,8358.4,8514.9,8689.1,NaN,NaN,9634.7,9780.7,9891.2,10072,10227,10396,NaN,NaN,10737,NaN,10933,11092,11273,11498,11622,11734,11922,12080,12247,12466,12591,12704,12906
2073.2,2195.2,2366.1,2552.2,2756.1,2924.3,3100.4,3276.8,3443.6,3614,3768.6,NaN,NaN,4100.2,NaN,4331.4,4494.5,4648.5,4900.6,5017.3,5148.2,5309.9,5483.8,5638.8,NaN,NaN,5952.4,NaN,6184.8,6322.6,6534.2,6683.8,6841.5,7013.1,7167.2,7423.9,7536.3,7664.2,7825,8003.2,8134,8296.1,8459.6,8613.8,NaN,NaN,8940.2,9703.5,9855.4,10016,10172,10326,NaN,NaN,10649,NaN,10880,11034,11191,11452,11565,11697,11858,12027,12177,12424,12540,12666,12827,12974
