n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n
1873.1,1990.9,2153.4,2356.8,2526.5,2707.3,2845.4,3081.3,3315.8,3445.6,3669.9,3841.3,3962.6,4149.7,4305.7,4464.4,NaN,NaN,4805.8,NaN,5006.4,5166.4,5335.8,5561.3,5687.3,5802.1,5991.9,NaN,6195.4,6354.2,6532.3,6754.5,6882.5,6996.7,7184.8,NaN,7387,7546.3,7718.3,NaN,NaN,8067.3,8210.4,8322.5,8505.8,8664,8823.2,NaN,NaN,9171.3,9312.2,9425.5,9606.5,9765.1,9931.2,NaN,NaN,10258,NaN,10459,10618,10783,11002,11124,11235,11417,NaN,11619,11782,11948,12169
1924.8,2057.7,2210.1,2436.8,2593,2779.2,2951.6,3154.8,3385.6,3554,3742,3915.4,4085.1,4248.8,4402.7,NaN,NaN,4725.5,NaN,4956.9,5109.2,5266.4,5514.6,5634.5,5762.9,5926.8,NaN,6146.6,6297.1,6452.5,6712.2,6831.1,6956.7,7126,NaN,7335,7483.1,7645.9,NaN,NaN,7974.9,8138.8,8284.2,8447.2,8608.4,8763.3,NaN,NaN,9078.4,9242.7,9389.1,9546.7,9713.4,9864.5,NaN,NaN,10187,NaN,10409,10570,10720,10963,11082,11201,11361,NaN,11567,11717,11886,12127,12215
