n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c
7247.7,7370.3,7529.8,7705.7,7853.5,8084,8245.2,8375.2,8590.1,8794.5,8915.7,9103.3,9259.6,9423.5,NaN,NaN,9756.6,NaN,9959.2,10115,10287,10506,10634,10747,10936,NaN,11135,11292,11468,11690,11814,11926,12117,12275,12436,NaN,NaN,12769,NaN,12970,13130,13295,13518,13647,13757,13947,NaN,14150,14314,14486,14706,14833,14945,15128,15289,15460,NaN,NaN,15798,NaN,15999,16160,16336,16563,16690,16804,17012,17152,17264,17451,17609,17790,NaN,NaN,18164,18299,18415,18602,NaN,18808,18976,19164,19390,19524,19641,19847,19998,20115,20307,NaN,20510
7293.9,7446.7,7591.5,7766.5,7956.1,8152.3,8319,8498,8658.1,8865.9,9036.5,9214,9357.7,NaN,NaN,9680.8,NaN,9908.5,10061,10212,10465,10579,10709,10870,NaN,11085,11237,11386,11649,11762,11889,12051,12220,12373,NaN,NaN,12690,NaN,12918,13069,13228,13478,13591,13722,13878,NaN,14098,14261,14411,14666,14793,14910,15066,15235,15387,NaN,NaN,15714,NaN,15947,16111,16259,16515,16638,16769,16924,17084,17223,17387,17552,17713,NaN,NaN,18052,18233,18374,18539,NaN,18755,18915,19076,19346,19464,19602,19766,19921,20074,20237,NaN,20458,20606
