n,n,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1846.2,1985.5,2144.4,2382.8,2534,2752.6,2933.2,3060.3,3327.7,3688.8,3852.7,3982.2,4198.2,4348.9,4468.4,4652.8,4806.2,4968.8,NaN,NaN,5326.2,NaN,5529.1,5688,5868.5,6088.6,6213.3,6327.3,6514.3,NaN,6716.8,6877.6,7063.2,7286.1,7414.7,7528.9,7711.3,7866,8034.3,NaN,NaN,8368.8,NaN,8568.8,8730.2,8893.6,9117.7,9245.5,9356.9,9540.2,NaN,9743.1,9905.8,10081,NaN,NaN,10416,NaN,10622,10779,10955,11175,11300,11413,11606,11761,11931,NaN,NaN,12263,NaN,12468,12630,12802,13022,13148,13261,13470,13618,13730,13914,14071,14251,NaN,NaN
1878.3,2045.6,2194.8,2451.8,2593.5,2813.2,2996.8,3162.2,3392.5,3759.1,3922,4095.8,4265.5,4419.5,4591.9,4745.1,4904.3,NaN,NaN,5220.4,NaN,5474.2,5630.1,5784.5,6045.3,6161.2,6286.2,6449.3,NaN,6663.1,6815.3,6980.3,7240.1,7357.9,7488.5,7645.7,7807.6,7965.5,NaN,NaN,8291.6,NaN,8515.8,8676.7,8828.8,9073.2,9189.9,9319.1,9474.1,NaN,9690.1,9846.2,10007,NaN,NaN,10335,NaN,10564,10716,10879,11130,11249,11378,11532,11700,11861,NaN,NaN,12187,NaN,12414,12567,12726,12979,13093,13224,13382,13541,13694,13850,14010,14172,NaN,NaN,14494
