n,n,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c
4771,4909,5103,5252.9,5392.7,5666.1,5815.9,5931.5,6122.4,NaN,6322,6473.1,6642.1,6856.9,6985.1,7094.3,7292.2,7450.4,7633.8,NaN,NaN,8042.3,8196.5,8314,8498.7,NaN,8696.8,8852.5,9020.4,9245.6,9367.6,9477.9,9681,9823.2,9932.1,10115,10267,10429,NaN,NaN,10800,10944,11051,11239,11393,11553,NaN,NaN,11885,NaN,12085,12243,12456,NaN,NaN,12790,13033,13175,13267,13519,14363,14518,14632,14812,14963,15128,NaN,NaN,15450,NaN,15647,15798,15960,16174,16297,16406,16608,16743,16853,17035,17187,17356,17577,17702,17814,17998,NaN,18200
4835.1,4965.6,5183.1,5310.3,5510.6,5760.8,5891.8,6050.4,NaN,6268.2,6421.2,6570.7,6815.4,6928.5,7058.8,7217,7395.8,7548.1,NaN,NaN,7896.4,8121.4,8274.1,8436.8,NaN,8649.8,8804.6,8950,9200.5,9312.3,9438.6,9599.5,9761.5,9896.3,10056,10232,10366,NaN,NaN,10682,10870,11017,11175,11340,11488,NaN,NaN,11808,NaN,12035,12185,12366,NaN,NaN,12707,12933,13105,13248,13411,13588,14441,14587,14753,14907,15056,NaN,NaN,15380,NaN,15593,15738,15895,16137,16246,16370,16525,16675,16818,16972,17133,17280,17534,17646,17776,17933,NaN,18142,18244
