x,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,n,n,e,c,x
1935.3,3110.9,3431.9,3544.8,3694.7,3866.7,4018.8,4255.1,4413.8,4529.8,4713.5,4867.9,5029.5,NaN,NaN,5347.3,NaN,5542.1,5695.9,5858.6,6068.4,6189.8,6299,6481.6,6632.2,6791.8,NaN,NaN,7115.9,NaN,7312,7469,7635.7,7847.4,7967.9,8077.2,8259.2,8409.8,8570,NaN,NaN,8908.7,9036.8,9146.4,9324.1,NaN,9518.1,9676.4,9842.3,10056,10181,10293,10476,NaN,10670,10820,11008,NaN,NaN,11347,11488,11600,11782,NaN,11979,12138,12304,NaN,NaN,12650,NaN,12848,13038,13175,13286,13466,13623
2058.2,3158.8,3479.1,3623.8,3756.2,3931.5,4123.9,4321.9,4485.9,4651.4,4811,4963,NaN,NaN,5286.8,NaN,5494.5,5638.9,5798.1,6032.5,6141.4,6264.3,6430.7,6578.1,6727.8,NaN,NaN,7046.9,NaN,7265.6,7418.1,7573.2,7806.3,7920.7,8043.4,8207.8,8344.2,8504,NaN,NaN,8824,8977.7,9111.8,9264.5,NaN,9469.6,9633.1,9771.6,10017,10128,10255,10414,NaN,10622,10768,10924,NaN,NaN,11264,11416,11559,11715,NaN,11930,12087,12234,NaN,NaN,12565,NaN,12797,12936,13109,13251,13404,13566,13717
