n,n,n,n,e,n,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c
1994.1,2156.2,2358.1,2526.2,2661.6,2936.3,3176.5,3339.2,3459.1,3653.6,3804.9,3969.8,NaN,NaN,4404.4,4620.8,4731.2,4928.1,NaN,5127.3,5283.9,5460.1,5683.8,5810.7,5924.2,6106.9,6258.5,6421.8,NaN,NaN,6776,6913.4,7026.3,7210.4,7363.3,7527.2,NaN,NaN,7853.2,NaN,8050.4,8205.5,8380.1,8606,8724.8,8837.9,9043.5,9183.1,9296,9478.8,NaN,9678.3,9834.8,10012,NaN,NaN,10350,NaN,10551
2064.5,2213.9,2421.7,2591.1,2761.4,3001.3,3247.8,3407.2,3582.8,3739.9,3902,NaN,NaN,4219.4,4476.6,4690.8,4850.7,NaN,5076.7,5229.9,5379.2,5651.4,5754,5888.6,6040.4,6201.9,6355.7,NaN,NaN,6672.9,6850.3,6984.7,7147.2,7305.8,7461.6,NaN,NaN,7777.5,NaN,7997.2,8148.8,8303.6,8557.6,8673,8796.8,8956.9,9113.1,9258.9,9413.6,NaN,9627.7,9780.6,9933.8,NaN,NaN,10262,NaN,10499,10602
