n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c
1831.2,1974.9,2381.1,2556.2,2714.1,3485.3,3639,3764.2,3973.8,4132.7,4254.4,4459.9,NaN,4655.7,4807.2,4973.8,5181.3,5309.3,5423.5,5604.8,5757.5,5915.1,NaN,NaN,6244.8,NaN,6441.8,6595,6768.2,6988,7118,7231,7412.6,7567.2,7743.4,NaN,NaN,8073.2,NaN,8270.7
1870,2192.5,2510.5,2618.7,2816,3575.1,3708.7,3870.5,4045.5,4205.8,4373.3,NaN,4605.1,4750.7,4904.2,5144.8,5254.4,5382.6,5544.5,5708.4,5855.3,NaN,NaN,6167,NaN,6391.4,6540.7,6697.8,6946.1,7060.2,7190.5,7348.9,7518.4,7662.6,NaN,NaN,7995,NaN,8216.8,8307.6
