n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
1996.8,2163.9,2288.7,2486.6,2647.1,2767.8,2946.5,3096.6,3256.4,NaN,NaN,3580,NaN,3773.9,3928.7,4087.3,4300,4418.3,4527.6,4715,4865.4,5023.7,NaN,NaN,5348,NaN,5542.8,5697,5856.8,6072.8,6195.4,6304.4,6498.8,6632.9,6743.8,6919.4,NaN,7113.7,7271.7,7429.6,NaN,NaN,7795.7,7926.2,8036.9,8209.5,8362.3,8541.5,NaN,NaN,8860.2,NaN,9054,9212.1,9397.7,NaN,NaN,9726.9,NaN,9923.4,10083,10308,NaN,NaN,10661,10800,10909,11088,NaN,11283,11440,11610,11819,11941,12051,12287
2061.4,2243,2400.5,2558.2,2721.8,2883.7,3050.1,3220.8,NaN,NaN,3509.9,NaN,3725.1,3871.6,4032.2,4261.1,4371.6,4495.2,4650.6,4793.1,4957.6,NaN,NaN,5278.1,NaN,5493.5,5639.5,5792.2,6033,6156.8,6265.6,6418.5,6570.7,6707,6856.3,NaN,7065.5,7234.6,7367.1,NaN,NaN,7682.9,7878.2,8003.5,8155,8309.5,8457.2,NaN,NaN,8793.3,NaN,9003.1,9149.4,9302.1,NaN,NaN,9647.3,NaN,9871.7,10022,10177,NaN,NaN,10554,10742,10873,11028,NaN,11233,11393,11543,11780,11893,12019,12174,12349
