n,n,n,n,n,e,n,n,e,n,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g
1976.6,2118.3,2264.3,2478.3,2670.7,2821.6,3845.4,4003.6,4135.7,4370.7,5380.2,5578.8,5702.9,5914.4,6074.6,6194.8,6390.9,NaN,6592.5,6751.9,6936.2,NaN,NaN,7288.5,NaN,7497.4,7696.1,7870.3,7985.7,8171.1,8327.8,8502.9,NaN,NaN,8836,NaN,9038.3,9194.2,9372.9,9595.5,9722.9,9838.1,10037,10191,10362,NaN,NaN,10712,10855,10968,11154,11314,11502
2039.7,2180.3,2320.5,2546.4,2734.5,2923.6,3908.7,4073.6,4250.8,4437.5,5512.8,5647.7,5813.3,5987.2,6148.5,6309.3,NaN,6542.8,6701.7,6849.8,NaN,NaN,7187.6,NaN,7442.2,7593.7,7767.1,7944.3,8104.8,8271.8,8425.4,NaN,NaN,8761.2,NaN,8985.6,9159.5,9294.6,9551.2,9668,9792.5,9954.7,10135,10291,NaN,NaN,10618,10781,10929,11094,11264,11416,11675
