n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,n,n,e,c,x,g,n,n,e,a,b,c,n
1986.2,2528.1,2664.9,2813.4,3011.3,3179.7,3398.8,3588.2,3710.9,3940,4125.8,4262.1,4481.3,4634.3,4756.8,4939.7,5094,5253.6,NaN,NaN,5606,NaN,5811.6,5967.8,6630.5,6784,6900.9,7082.5,7352.6,7496.3,7609.1,7792,7948.3,8115.2,NaN,NaN,8451.7,NaN,8652.6,8812.4,8986.5,9207.2,9334.3,9446,9638.8,9798.3,9964.1,NaN,NaN,10314,10449,10563,10752,10911,11077,11302,11429,11549,11736,NaN,11944,12112,12290,12517,12649,12765,12959,NaN,13161,13323,13503,13725,13857,13971,14185,14346,14476,14664,14822,15003,NaN,NaN,15392,NaN,15596,15766,15947,16172,16299,16419,16606,NaN,16814,17016,17178,17291,17477,17641,17831,18059,18185,18300,18488,NaN,18694,18900
2040.2,2570.1,2725.2,2845.7,3086.6,3244.7,3467.2,3655.8,3818.1,4011.6,4197.6,4374.2,4553.3,4705.5,4878.5,5041,5193.1,NaN,NaN,5516.3,NaN,5758.9,5907,6065.2,6698.5,6855.8,7025.1,7180.2,7425.7,7569.7,7728.1,7895.2,8048.1,NaN,NaN,8378.9,NaN,8603.6,8756.2,8914.2,9165.2,9280.8,9410.2,9570.8,9740,9901.8,NaN,NaN,10219,10383,10524,10683,10852,11014,11255,11377,11501,11671,NaN,11890,12055,12227,12471,12590,12725,12886,NaN,13110,13269,13426,13683,13798,13932,14094,14256,14419,14598,14765,14924,NaN,NaN,15262,NaN,15542,15701,15865,16130,16245,16371,16541,NaN,16760,16905,17087,17250,17413,17579,17744,18013,18132,18263,18420,NaN,18639,18781,18971
