n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x
1983,2470.3,2598.4,2749.6,2966.8,3149.7,3282.2,3501.9,3625.4,3785.3,3996.6,4144.3,4263.1,4446.6,4600,4759.5,NaN,NaN,5093.2,NaN,5290,5445.2,5606,5827.9,5949.7,6065.4,6251.6,NaN,6451.7,6606.9,6780,7062.6,7198.1,7307.9,7490.8,NaN,7686.8,7843.9,8002.6,8217.4,8345.8,8456.2,8638.8,8795.9,8965,NaN,NaN,9298.6,NaN,9494.2,9650.2,9808.1,10022,10145,10255,10435,10589,10751,NaN,NaN,11078,NaN,11274,11431
2025.2,2511.3,2662.2,2804.9,3035.6,3213.2,3392.1,3593.2,3726.8,3895.4,4068,4217,4385.2,4545.7,4695.5,NaN,NaN,5015.6,NaN,5242.7,5387.1,5543.2,5786,5899.2,6031.9,6189.6,NaN,6402.3,6551.2,6703.7,6955.5,7147,7271.5,7430.6,NaN,7637.8,7794.3,7942.6,8178.1,8290.8,8419.4,8579.7,8737.6,8895.9,NaN,NaN,9210.6,NaN,9447.8,9598.9,9747.1,9984.2,10092,10222,10368,10533,10698,NaN,NaN,10998,NaN,11225,11379,11527
