n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c
1834.1,1990.8,2163.1,2322.4,2514.5,2723.5,2964.5,3234.1,3411.9,3538,3797,3945.1,4069,4259.8,4416.3,4582.6,NaN,NaN,4923.4,NaN,5128,5290.2,5467,5690.6,5822.5,5938.3,6132.2,6286.9,6449.2,NaN,NaN,6778.8,NaN,6982.4,7143.3,7316.4,7538.3,7664.3,7779.9,7961.8,NaN,8164.5,8326.3,8492.9,8715.8,8842.4,8954.8,9149.8,NaN,9359.6,9520.9,9712.3,NaN,NaN,10077,10239,10350,10533,10693,10901,NaN,NaN,11232,NaN,11436,11598,11771,12006,12130,12242,12437,NaN,12641,12804,12985,13206,13331,13444,13629,NaN,13834,13999,14203,NaN,NaN,14561,14720,14840,15049,15202,15322,15514,NaN,15716
1871.8,2057,2223.1,2429.2,2565.5,2789,3027.8,3306.3,3477.8,3645.4,3867.1,4020.9,4192.4,4353.5,4515.2,NaN,NaN,4839.4,NaN,5072.8,5228.7,5388.3,5642,5765.5,5897.6,6061.3,6231.8,6384.4,NaN,NaN,6700.8,NaN,6931,7083.4,7243.2,7496.7,7611,7739.1,7900.8,NaN,8114.8,8263.8,8424.6,8671.8,8788.7,8922.4,9076.2,NaN,9309.7,9463.4,9619.6,NaN,NaN,9967,10163,10313,10477,10633,10792,NaN,NaN,11156,NaN,11386,11536,11711,11947,12074,12205,12369,NaN,12589,12743,12904,13164,13278,13414,13566,NaN,13783,13932,14101,NaN,NaN,14455,14630,14793,14967,15120,15275,15441,NaN,15665,15777
