n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,n,n
1848.7,1991.3,2681,2808.5,2970.1,3154.5,3318.8,3445.5,3691.7,3890.8,4008.1,4247.2,4426.4,4549.2,4741.8,4892.8,5054.7,NaN,NaN,5396.1,NaN,5601,5757.4,5928.5,6150.6,6277.3,6388.4,6572.2,6730.2,6891.1,NaN,NaN,7220.9,NaN,7422.8,7580.2,7757.9,7976.7,8103.5,8213.9,8397.9,8555,8718.2,NaN,NaN,9094.6,9344,9604.8
1891.1,2051.2,2731.7,2873.6,3025.8,3218.3,3381.8,3552.8,3757.5,3965.7,4119.8,4317,4501.4,4670.1,4836.4,4985.4,NaN,NaN,5311.1,NaN,5546.8,5704.6,5851.4,6105.3,6223.2,6352.2,6513.8,6678.7,6833.8,NaN,NaN,7144.2,NaN,7374.6,7530.3,7678.8,7935.2,8050.3,8181.9,8338.6,8501.2,8661.3,NaN,NaN,8975.3,9247.2,9414.4,9674.4
