n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1988.7,2658.2,2814.6,2943.5,3133.8,3288.6,3403.8,3584.5,3734.5,3892.1,NaN,NaN,4214.8,NaN,4412.4,4567.6,4725.9,4940.1,5061.6,5172.9,5355.5,NaN,5552.2,5707.5,5872.2,NaN,NaN,6193.1,NaN,6389.7,6546.8,6709.8,6925.7,7047.5,7157.2,7358.3,7488.8,7598.2,7774.7,7927.2,8086.5,NaN,NaN,8410.1,NaN,8606.8,8766,8934.4,NaN,NaN,9284.6,9421.2,9527.9,9704.1,9858.6,10024,NaN,NaN,10387,10548,10658,10870,11034,11144,11324,11480,11650,NaN,NaN,11977,NaN,12174,12331,12503,12720,12842,12951,13139,NaN,13338,13500,13689,NaN,NaN
2059.4,2727.6,2889.9,3051.9,3206.8,3367.9,3525.3,3686.3,3833.4,NaN,NaN,4156.7,NaN,4360.7,4510.9,4666.5,4902,5013.1,5137.8,5298.2,NaN,5505.6,5653.6,5802.2,NaN,NaN,6132.1,NaN,6342.1,6495.1,6645.2,6887.1,6997.8,7122.9,7280.1,7446.7,7566.3,7731.2,7873.7,8026.8,NaN,NaN,8343.1,NaN,8560.3,8710.9,8861.6,NaN,NaN,9212.5,9373.6,9496.8,9650.3,9803.8,9956.3,NaN,NaN,10285,10471,10623,10775,10956,11117,11261,11430,11581,NaN,NaN,11914,NaN,12125,12274,12430,12680,12791,12919,13073,NaN,13289,13446,13598,NaN,NaN,13957
