n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,n
5997.8,6135.8,6275.3,6448.5,6576.3,6794.5,6958.3,7082.3,7334.4,7509.6,7640.4,7849.3,8057.2,8175.7,8383.7,8532.2,8693.4,NaN,NaN,9000.5,NaN,9224.2,9376.1,9532.9,9746.2,9864.7,9972.7,10155,NaN,10350,10504,10664,10877,10995,11104,11283,11433,11586,NaN,NaN,11916,NaN,12112,12269,12494
6042.2,6202.7,6339.5,6508.7,6678.9,6859.9,7027.2,7189.5,7412.8,7580.7,7746.2,7964.2,8130.8,8289.8,8478.1,8625.6,NaN,NaN,8945.1,NaN,9177.2,9317.3,9469.4,9704.9,9829.8,9938.2,10088,NaN,10302,10443,10611,10837,10944,11065,11218,11402,11528,NaN,NaN,11843,NaN,12061,12210,12369,12549
