n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p
2550.2,3466.6,4241.7,4409.9,4553.7,4720.1,4822.4,5076.1,5239.2,5371.2,5577.2,5734.8,5852.4,6031.9,6182.6,6342.1,NaN,NaN,6656.9,NaN,6854.7,7007.8,7170.8,7379.4,7499.3,7608.6,7792.1,NaN,7989.8,8144.1,8315.7,8526.1,8648.1,8757.6,8936.1,9088.9,9253.6,NaN,NaN,9590.7,9718.2,9827.3,10009,10160,10331,NaN,NaN,10650,NaN,10844,11002,11169,11381,11508,11622,11803,NaN,12001,12158,12332,NaN,NaN,12675,12809,12921,13130,13272,13383,13558,13712,13880,NaN,NaN
2706.8,3572.2,4287.2,4481.8,4616.3,4782.1,4971.2,5143.8,5310,5493.2,5646.7,5810.2,5971.3,6126.9,6279.3,NaN,NaN,6595.6,NaN,6805.6,6948.2,7105.5,7343,7450.8,7577,7729,NaN,7936.1,8089.2,8240.2,8489.6,8599.4,8723.7,8879.5,9030.8,9185.7,NaN,NaN,9506.8,9657.8,9788.3,9947.3,10105,10258,NaN,NaN,10583,NaN,10796,10943,11100,11342,11453,11579,11742,NaN,11948,12101,12252,NaN,NaN,12586,12758,12884,13043,13199,13347,13499,13657,13807,NaN,NaN,14134
