n,n,n,n,n,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n
1963.1,2123.2,2289.4,2675.5,2819.1,2956,3124,3251.7,3475.2,3663.7,3794.3,4002.3,4167.5,4281.6,4476.7,NaN,4678.7,4835,5001.9,5219.3,5343.6,5455.1,5641,5798.7,5960.8,NaN,NaN,6293.2,NaN,6494.1,6650.2,6818.3,7036.4,7160.3,7270.2,7476.3,7611.3,7725.8,7909.3,8064.1,8229.7,NaN,NaN,8696.4,8845.4,8960.9,9192.2,9345.1,9461.9,9645.9,9802,9967.6,NaN,NaN,10303,NaN,10504,10665,10837,11052,11174,11286,11476,11631,11798,NaN,NaN,12171
2078.9,2188.6,2328.3,2753.6,2881.7,3012.7,3187.6,3355.8,3541.9,3737.1,3898.8,4070.3,4244.1,4399.8,NaN,4624.1,4781.5,4926.9,5177.7,5292.8,5416.5,5574.9,5740.8,5890.8,NaN,NaN,6214.9,NaN,6441.8,6588.2,6745.7,6993.9,7108.7,7233.8,7392.8,7545.3,7683.7,7845.6,8011.3,8162,NaN,NaN,8480.2,8767.5,8922.8,9088.5,9263.5,9420.2,9583.9,9744.8,9898.8,NaN,NaN,10219,NaN,10449,10605,10763,11010,11127,11249,11402,11572,11729,NaN,NaN,12060,12239
