n,n,n,n,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1994.7,2336.2,3100.4,3244.7,3363.8,3551,3682,4238,4383.2,4500.3,4678.9,NaN,4879.8,5035.2,5215.7,NaN,NaN,5559.1,5704.9,5815.2,5988.9,6138.9,6299.1,6511.2,6632.6,6739.7,6936.4,7074.2,7182.9,7361.8,7513.9,7668.4,NaN,NaN,7985.4,NaN,8176.8,8331.1,8495,8705,8824.9,8932.3,9108.7,9261.2,9417.7,NaN,NaN,9732.4,NaN,9925.8,10079,10240,10454,10575,10684,10863,11015,11180,NaN,NaN,11508,NaN,11702,11857,12029,12248,12372,12483,12679,12821,12929,13107,13262,13426,NaN,NaN,13760,NaN,13955,14110,14270,14500,14661
2037.1,2415.5,3144.5,3329.8,3456.8,3621.3,3786.9,4307.3,4457.9,4623.2,NaN,4827.4,4983.6,5132.9,NaN,NaN,5467.7,5633.7,5780.4,5923.8,6093.3,6232.1,6473.5,6583.4,6706,6850.7,7006.9,7149.6,7306.8,7464.6,7605.7,NaN,NaN,7916.3,NaN,8128.5,8276,8421.6,8668.6,8777.6,8897,9054.1,9207.7,9360.3,NaN,NaN,9660.9,NaN,9877.9,10022,10173,10414,10525,10652,10800,10957,11114,NaN,NaN,11427,NaN,11653,11804,11955,12203,12316,12447,12600,12748,12899,13046,13208,13362,NaN,NaN,13677,NaN,13905,14055,14210,14446,14564,14731
