n,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,a,b,c,x
1046,1866.3,1993.1,2144.4,2398.6,2579.2,2720.5,2950.1,3210.1,3385.8,3507.5,3771.6,3940.8,4060.5,4275,4426.8,4592.8,NaN,NaN,4943.9,NaN,5151.8,5309.9,5487.4,5804.5,5950.9,6070.6,6260.1,6415.6,6578.2,NaN,NaN,6936.4,NaN,7139.4,7299.6,7572.5,7720.7,7850.2,7964.5,8159.8,NaN,8364.9,8522,8701.8,NaN,NaN,9059.2,9195.7,9309.4,9524.7,9664.5,9785.8,9971.1,10128,10332,NaN,NaN,10665,NaN,10871,11033,11251,NaN,NaN,11595,NaN,11797,11959,12128,12353,12476,12591,12778,NaN,12979,13140,13322,13550,13675,13793,14014,14161,14273,14459,14617,14803,NaN,NaN,15158,NaN,15360,15522,15695,15921,16080,16251,16363,16548,NaN,16754,16915
1084.1,1926.2,2052.8,2202.9,2465.3,2646.7,2823.2,3014.8,3282.3,3454.2,3617.9,3842.7,4014.2,4175.1,4358.1,4525.8,NaN,NaN,4847,NaN,5094.2,5251.2,5410,5661.5,5874.5,6023.6,6193.1,6360.1,6515.3,NaN,NaN,6833.4,NaN,7086.5,7242.5,7396.7,7678.1,7790.9,7925.1,8092.8,NaN,8306,8470.3,8619.6,NaN,NaN,8953.6,9128.4,9270.3,9430.2,9591.9,9740.5,9911,10067,10225,NaN,NaN,10596,NaN,10817,10991,11134,NaN,NaN,11503,NaN,11747,11892,12060,12307,12423,12552,12716,NaN,12929,13088,13239,13498,13620,13749,13912,14086,14235,14395,14561,14720,NaN,NaN,15060,NaN,15308,15460,15620,15872,15970,16148,16326,16488,NaN,16699,16852,17014
