n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,g,n,n
2738.8,2901.3,3082,3212.4,3450.7,3628.2,3754.4,3979.4,4102.9,4266.8,4460.7,4620.3,4784.5,NaN,NaN,5115.3,NaN,5319.4,5476.7,5650.6,5872.2,5998.4,6112.8,6302.2,6458.4,6621.8,NaN,NaN,6958.1,NaN,7162.3,7323.1,7504.3,7795.4,8115.6,8260.2,8373.7,8556.7,8713.9,8882.8,NaN,NaN,9220.2,NaN,9426.3,9587.1,9767,9990.8,10113,10225,10427,10573,10685,10870,11028,11203,NaN,NaN,11533,NaN,11735,11896,12072,12292,12418,12532,12720,NaN,12922,13088,13273,NaN,NaN,13637,13782,13900,14107,14268,14384,14574,14734,14918,15140,15269,15381,15593,15741,15854,16048,16208,16378,16603,16766
2804.2,2955.1,3147.7,3325.7,3523,3695.2,3862.8,4049.9,4220.7,4390.2,4569.7,4720.9,NaN,NaN,5042.5,NaN,5265.1,5417.7,5587.3,5829.7,5963,6075.8,6235.5,6400.9,6556.3,NaN,NaN,6875.8,NaN,7111.3,7265.9,7433.7,7683.7,7867.4,8189.6,8336.8,8501,8663.8,8814.3,NaN,NaN,9135.1,NaN,9375.6,9534,9683.4,9945.5,10071,10187,10346,10498,10650,10806,10971,11131,NaN,NaN,11457,NaN,11684,11844,11999,12247,12366,12496,12662,NaN,12871,13025,13199,NaN,NaN,13530,13706,13860,14023,14181,14343,14509,14699,14834,15096,15211,15343,15506,15662,15818,15978,16154,16303,16558,16666,16838
