n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p
1880.6,1990.3,2142.8,2352.6,2531.3,2663.9,2898.4,3547.5,3706.3,3830,4067.8,4208.3,4333.7,4522.9,4674.8,4837.4,NaN,NaN,5170.8,NaN,5369.4,5525.5,5692.8,5914.1,6040,6152.1,6335.8,6490.2,6654,NaN,NaN,6988.5,NaN,7188.4,7343.1,7520.4,7735.7,7859.2,7973.9,8283.1,8429.2,8539.7,8723.5,8877.4,9042.2,NaN,NaN,9370.4,NaN,9571.1,9730.4,9896.2,10116,10241,10353,10534,NaN,10734,10893,11067,11284,11405,11515,11700,11855,12020,NaN,NaN,12354,NaN,12554,12712,12911,NaN,NaN
1920.4,2054.6,2200.9,2402.8,2591.9,2759.9,2958.4,3610.6,3775.2,3939.8,4136.8,4289,4451.8,4619.3,4773.2,NaN,NaN,5088.8,NaN,5319.3,5465.4,5623.5,5868.7,5992.8,6114.7,6270.7,6433.4,6584.8,NaN,NaN,6904.1,NaN,7133,7289.2,7444.6,7691.6,7809.3,7931.9,8092,8350.6,8502.2,8658.3,8823.9,8984.8,NaN,NaN,9292.6,NaN,9519.4,9666.5,9820.8,10070,10186,10316,10476,NaN,10684,10837,10987,11243,11355,11481,11634,11798,11951,NaN,NaN,12267,NaN,12503,12656,12806,NaN,NaN,13166
