n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
1990.7,2109.4,2498.9,2631.5,2770.7,2934.6,3047.1,3280.7,3463,3589.9,3791,3951.1,4068.3,4280.5,4437.8,4552.1,4742.8,4897.6,5063.6,NaN,NaN,5399.2,NaN,5600,5755.9,5925.6,6145.1,6271.1,6383.1,6567,6724.7,6892.2,NaN,NaN,7218.8,NaN,7422.2,7580.2,7751.8,7970.3,8094.5,8206.8,8415.7,8553.8,8665.3,8849.6,9003.5,9170.4,NaN,NaN,9501.3,NaN,9702.4,9860.5,10030,10250,10380,10495,10707,10841,10954,11138,11296
2031.1,2185.7,2554,2692.4,2833,3002.5,3165.4,3352.8,3536,3705.2,3862.9,4025.5,4184.9,4351.2,4513.9,4676.6,4842.6,4991.9,NaN,NaN,5323.3,NaN,5550.5,5704.8,5869.9,6106.1,6217.3,6351.9,6505.7,6667.9,6823.2,NaN,NaN,7145.2,NaN,7369.8,7521.7,7688.7,7925.7,8042.3,8173.7,8332.5,8485.6,8634.4,8789.6,8952.6,9097.7,NaN,NaN,9423.6,NaN,9648.8,9828.8,9962.3,10210,10340,10457,10622,10794,10915,11078,11244,11395
