n,n,n,n,e,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1980.7,2131.2,2342.8,2541.4,2677.5,2912.2,3430.8,3588.1,3723.1,3936.9,4181.7,4328.2,4440.4,4656,4808.3,4978.1,NaN,NaN,5318.2,NaN,5529.5,5693.7,5865.1,6085.8,6215.7,6330.8,6511.8,NaN,6713.3,6872.6,7047.5,7264.4,7394.2,7507.4,7729.8,7880.7,7995.6,8178.8,8335,8499.9,NaN,NaN,8859.9,NaN,9061.2,9221.1
2037.7,2173.8,2406.8,2604.8,2781.3,2976.5,3523.2,3656.9,3831.3,4003.5,4249.2,4400.6,4557.2,4750.4,4908.8,NaN,NaN,5231.5,NaN,5472.6,5637.4,5794.2,6039.4,6159.2,6290.1,6456.1,NaN,6658.7,6817.2,6983.6,7222.9,7339.1,7467.8,7633,7800.1,7955.7,8118.8,8280.3,8432,NaN,NaN,8756.6,NaN,9007.2,9162.5,9329.9
