n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,n,e,c,x,d,m,p
1991.6,2127.9,2239,2422.8,2574,2736.8,2950.5,3074.5,3183.3,3364.5,3520.3,3684.4,NaN,NaN,4009,NaN,4207.6,4365.1,4546,4766.7,4894.6,5113.3,5255.3,5363.9,5544.2,5701.5,5869.8,NaN,NaN
2086,2203,2362.1,2527.8,2693.4,2911.6,3023,3149.9,3306.2,3466.2,3621,NaN,NaN,3935.3,NaN,4158.8,4309.1,4463.9,4721.4,4834.9,4965.4,5179.5,5329.8,5485.8,5648.9,5795.8,NaN,NaN,6123.2
