n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c
1663.8,1977.4,2101.1,2273.7,2407.9,2640.1,2783.5,2909.1,3121.5,3267.4,3381.6,3564,3715.9,3877.9,NaN,NaN,4204.4,NaN,4402.1,4556.3,4728.5,4943.8,5065.9,5175.6,5356.8,5511.8,5668,NaN,NaN,6007.7,6139.3,6251.9,6434,6588.6,6750.9,6967.4,7087,7194.6,7383.1,NaN,7583.1,7742.1,7911.6,8125.8,8247.5,8358.4,8566.2,8705.5,8815.8,8992,9145,9308.3,NaN,NaN,9633.8,NaN,9829.1,9981.6,10154,10483,10595,10729,10908,11063,11248,NaN,NaN,11568,NaN,11769,11928,12102,NaN,NaN,12441,12579,12690,12885,NaN,13086
1701.8,2019.9,2183.6,2333.8,2506.3,2725.2,2853.8,3023.7,3187.7,3339.4,3500.5,3659.7,3805.2,NaN,NaN,4129.3,NaN,4352.7,4505.1,4654.1,4903.3,5017.8,5135.5,5298.8,5451.8,5606.5,NaN,NaN,5917,6075.9,6213.8,6374.8,6533.4,6687.1,6926.2,7036.7,7158,7309.8,NaN,7537.1,7681.1,7833.6,8085.5,8195.1,8319.8,8472.7,8637.8,8779.2,8933.5,9091.2,9242.2,NaN,NaN,9553.6,NaN,9777.7,9924.6,10075,10330,10560,10694,10847,11001,11156,NaN,NaN,11498,NaN,11718,11870,12025,NaN,NaN,12353,12510,12654,12813,NaN,13034,13125
