n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,n,n,n
1995.2,2109.7,2287.6,2509.8,2672.8,2790.1,2979.4,NaN,3176.4,3332.2,3504.5,3718.5,3841.7,3951.8,4136.1,4290.5,4451.3,NaN,NaN,4775,NaN,4971.1,5126.4,5288.9,NaN,NaN,5613.2,NaN,5811.7,5969.8,6141,6359.2,6478.8,6588.5,6769.7,NaN,6965.5,7124.8,7288.2,7502.2,7627.3,7737.3,7919.2,NaN,8115.8,8271.9,8435.3,NaN,NaN,8786.2,8926.8,9041.7,9222.8,NaN,9423.7,9648.1,9795.6,9989.5
2066.1,2228.7,2395.5,2582,2748.9,2910,NaN,3128.3,3275.9,3428.6,3686.3,3798.1,3918.3,4075.6,4238.7,4397.3,NaN,NaN,4704.9,NaN,4920.6,5086.5,5224.6,NaN,NaN,5545.7,NaN,5762.1,5936.8,6068.2,6317.1,6445.7,6552.1,6726.5,NaN,6913.3,7087.9,7232.7,7463.8,7586.8,7701.9,7855.9,NaN,8066.2,8238.4,8370.6,NaN,NaN,8695.1,8871.5,9010.9,9166.8,NaN,9371.2,9523.5,9727.3,9874.1,10071
