n,n,e,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c
2853.9,3009.8,3132.7,3347.3,3536,3658.5,3868,4500.3,4645.7,4777.7,4993.5,5140,5254.2,5437.2,5590.9,5749.8,NaN,NaN,6082.8,NaN,6282.9,6439,6606.1,6819.7,6952,7062.8,7247.4,7402.7,7564.5,NaN,NaN,7896.6,NaN,8095.7,8258.2,8438.5,8715.7,8849.3,8960.2,9138.2,NaN,9336.8,9494.6,9652.5,9872.1,9995.6,10106,10317,10466,10578,10763,10917,11077,NaN,NaN,11437,11685,11822,11935,12115,12268,12436,NaN,NaN,12765,NaN,12966,13123,13294,13512,13632,13745,13932,NaN,14134,14292,14471,NaN,NaN,15548,15686,15797,15976,16130,16299,16523,16644,16755,16955,17094,17204,17415,17555,17670,17852,18007,18177,18480,18628,18742,18926,NaN,19128,19287,19451,19674,19796,19914,20102,NaN,20301,20463,20649,NaN,NaN,21005,NaN,21210
2935.6,3078.4,3236.4,3418.1,3603.7,3765,3965.7,4569.9,4718.8,4891.9,5069.1,5215.9,5376.5,5539.1,5688.7,NaN,NaN,6003.9,NaN,6232.9,6376.2,6537.6,6779.6,6891.2,7027.1,7190.7,7353.1,7502.7,NaN,NaN,7814.4,NaN,8045.3,8201.7,8356.2,8609,8782.4,8924.1,9080.8,NaN,9282.3,9437.6,9590.4,9833,9944.8,10069,10228,10385,10541,10702,10859,11014,NaN,NaN,11327,11506,11763,11896,12058,12214,12367,NaN,NaN,12688,NaN,12915,13061,13223,13469,13579,13708,13867,NaN,14079,14235,14391,NaN,NaN,14725,15617,15759,15912,16071,16227,16479,16593,16715,16875,17027,17168,17325,17484,17628,17789,17948,18117,18349,18548,18702,18870,NaN,19076,19225,19384,19629,19744,19871,20040,NaN,20251,20404,20563,NaN,NaN,20904,NaN,21154,21258
