n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e
1857.5,1988.3,2178.3,2385.1,2608.6,2792.2,2922,3148.8,3319.6,3447.2,3670.4,3817.2,3932.2,4113.7,4269.5,4432.9,NaN,NaN,4767.5,NaN,4971.5,5130.5,5294.8,5513.4,5637.2,5749.6,5934.8,6089.3,6253.4,NaN,NaN,6586.5,NaN,6785.5,6942.4,7111.1,7329.6,7455.2,7567.7,7752,NaN,7953.3,8114,8275.4,8498.2,8625.9,8738.2,8920.5,NaN,9121.8,9281,9462.2,NaN,NaN,9807.4,9941,10059
1891.8,2053.8,2225.8,2449.1,2674.6,2854.9,3027.9,3220,3395.2,3561.6,3737.9,3892.7,4052.5,4215.4,4365.6,NaN,NaN,4694.7,NaN,4920.2,5070.5,5229.4,5471,5583.5,5711.8,5867.5,6031.8,6188.1,NaN,NaN,6515,NaN,6734.5,6876.7,7042.6,7289.1,7404.3,7529.7,7693.8,NaN,7902.5,8054.3,8209.6,8450.8,8570.1,8699.4,8857.9,NaN,9069.7,9218.9,9384.4,NaN,NaN,9738,9875.9,10016,10178
