n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1991.2,2691.9,2866.6,2994.1,3245.4,3434.4,3551,3760,3950.4,4070.9,4250,4402.3,4560.7,NaN,NaN,4888.3,NaN,5085.4,5239.3,5415.8,5631.1,5756.7,5868.2,6051.4,6206,6365,NaN,NaN,6701.5,NaN,6899.8,7056.2,7220.6,7437.8,7565.2,7675.5,7865.3,8013,8121,8300.4,8457.6,8625.3,NaN,NaN
2061.7,2776.3,2932.6,3102.3,3313.9,3514.2,3667.7,3831.6,4026.6,4188.8,4351.4,4497.3,NaN,NaN,4813.8,NaN,5036.2,5185.5,5334.3,5591.6,5702.3,5835.8,5988.8,6149.7,6300.9,NaN,NaN,6618.6,NaN,6848.9,6998.4,7153.4,7399.1,7512.3,7640,7801.2,7938.3,8086.5,8243,8404.3,8555.8,NaN,NaN,8877.5
