n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,n,n,e,n,n,e,c,x,d,m,p,n
1992.4,2154.5,2276.8,2493.8,2634.6,2756.4,2963.8,3106,3220.5,3405.3,3556.3,3705.9,NaN,NaN,4040.9,NaN,4237,4390.5,4550.3,4835,4978.8,5085.3,5267.2,5417.3,5574.8,NaN,NaN,5899.6,NaN,6095.6,6248.1,6411.9,6632.5,6754.5,6863.8,7067.9,7212.8,7322.4,7496.8,7648.8,7804.5,NaN,NaN,8129.6,NaN,8338.8,8493.7,8662.9,8879.6,8999.2,9104.8,9303.9,9451.2,9559.8,9747.1,NaN,9945.7,10100,10263,10480,10603,10714,10899,NaN,11098,11254,11420,11639,11762,11871,12077,12216,12326,12512,12667,12828,NaN,NaN,13201,13342,13451,13663,13798,13909,14096,14251,14430,NaN,NaN,14787,14930,15041,15234,NaN,15433,15647,15788,15902,16110,16251,16364,16549,16702,16904,NaN,NaN,17277
2061.2,2221.4,2380.7,2590.2,2703.3,2862.6,3034.5,3177.1,3336.2,3499.6,3656.2,NaN,NaN,3953.3,NaN,4185.6,4331.2,4485.9,4717.7,4903.9,5051.1,5203.8,5360.3,5514.3,NaN,NaN,5823.1,NaN,6044.2,6194.8,6342.9,6583.2,6700.2,6826.5,6985.2,7136.5,7285.4,7448.6,7600.1,7747.2,NaN,NaN,8047.4,NaN,8281.2,8444.5,8588.6,8834,8947.9,9073.3,9225,9371.6,9523.7,9678.6,NaN,9889.4,10039,10194,10440,10550,10675,10832,NaN,11045,11193,11350,11599,11709,11834,11992,12143,12288,12445,12609,12763,NaN,NaN,13079,13268,13414,13572,13748,13871,14030,14193,14349,NaN,NaN,14672,14855,15004,15163,NaN,15380,15527,15718,15859,16024,16179,16324,16484,16642,16800,NaN,NaN,17145,17343
