n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,n
1995.9,2157.4,2283.5,2500.4,2651.9,2769.2,2949,3100.1,3261.1,NaN,NaN,3579.5,NaN,3774.3,3932.6,4089.8,4300.2,4421.8,4530.3,4704.5,4858.9,5017.8,NaN,NaN,5351.9,5480.2,5589.9,5767.5,5919.1,6084.1,NaN,NaN,6399.7,NaN,6593.7,6752.5,6912.5,7122.7,7246.1,7356.2,7536.5,NaN,7731.3,7888.2,8053.8,NaN,NaN,8375.4,NaN,8571.2,8726.7,8891.4,9105.2,9222.1,9331.2,9529,9665.4,9777.2,9955.1,10109,10274,NaN,NaN,10628,10823,10934,11111,11266,11431,NaN,NaN,11807,11946,12060,12242,NaN,12439,12596,12793,NaN,NaN,13133,13271,13381,13612
2066.2,2232.3,2398,2573.9,2732.7,2890.3,3052.7,3204.3,NaN,NaN,3514.1,NaN,3726.6,3881,4028.6,4265.6,4377.9,4497.8,4655.3,4822.2,4964.2,NaN,NaN,5275.8,5421,5560.5,5707.5,5884,6023.2,NaN,NaN,6335.4,NaN,6547.1,6698.2,6850.3,7087,7194.2,7322.2,7479.2,NaN,7683.6,7834.4,7983.8,NaN,NaN,8309.6,NaN,8521.5,8674.8,8819.6,9074.8,9177.4,9297.8,9466.7,9601.6,9744.8,9898.9,10077,10220,NaN,NaN,10532,10697,10903,11058,11220,11367,NaN,NaN,11686,11891,12028,12188,NaN,12389,12544,12693,NaN,NaN,13067,13204,13348,13505,13684
