n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1990,2154.1,2361.8,2531.7,2706.3,2844,3086.2,3264.5,3391.4,3613.3,3794.3,3918.6,4106.8,4259.9,4439.3,NaN,NaN,4774.8,NaN,4979.1,5134.9,5311.8,5535.2,5659.8,5772.5,5956.4,6111.8,6276.2,NaN,NaN,6608.8,NaN,6812.8,6972.4,7149.8,7369.7,7497.2,7611.9,7804.7,NaN,8006.3,8168.9,8348.6,8569.1,8696.8,8813.8,9008.6,NaN,9210.2,9370.3
2048.7,2201.1,2436.7,2593,2764.5,2944.2,3153.5,3333.8,3499.9,3679.9,3868.9,4033.4,4195.2,4355.3,NaN,NaN,4692.8,NaN,4925.1,5075.1,5231.7,5487.1,5604.8,5732.3,5894.4,6052.6,6211.6,NaN,NaN,6531.8,NaN,6755.5,6907.2,7071.8,7325.2,7443.7,7568.5,7729.6,NaN,7956.8,8102.7,8269,8527.1,8642.3,8768.6,8936.7,NaN,9159.6,9311,9470.4
