n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,n,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x
1864.9,1989.6,2128.3,2302.2,2433.6,2664.8,2845.2,2976.5,3224.8,3393.1,3517.2,3726.8,3882,4059.3,NaN,NaN,4398.3,NaN,4601.7,4761.3,4941.3,5164.5,5289.4,5400.6,5592.7,5747.8,5917.2,6138.1,6266.4,6381.2,6591.5,6739.7,6852.1,7042.2,7198.5,7370,NaN,NaN,7704.9,NaN,7904.2,8062.3,8288.5,NaN,NaN,8635.1,NaN,8838.9,9016.4,9149.6,9285.2,9397.9,9584.8,9743.8,9937.9,NaN,NaN,10293,10433,10551,10782,10936,11050,11230,11386,11556,11774,11899,12012,12205,NaN,12406,12568,12734,12954,13080,13193,13397,13535,13649,13842,13999
1910,2049.8,2179.4,2361,2533.4,2730.3,2916.3,3086.6,3291,3466.7,3634.5,3829.2,3974.8,NaN,NaN,4307.3,NaN,4547.3,4703.2,4875.5,5117.1,5236.3,5360.2,5519.1,5698.7,5843.3,6095.3,6210.4,6343.5,6503.6,6662.2,6812.8,6976.5,7144,7297.9,NaN,NaN,7625.7,NaN,7852.8,8014.3,8160.2,NaN,NaN,8540.7,NaN,8786.5,8942.9,9077.4,9221,9358.9,9526,9683.7,9841.7,NaN,NaN,10200,10362,10509,10678,10853,11012,11170,11337,11482,11733,11846,11975,12136,NaN,12354,12515,12666,12913,13028,13155,13312,13469,13612,13770,13947,14095
