n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,n,n,e,c,x,d,m,p,n,n,e,a,b,c
1997.3,2172.4,2308.6,2529.8,2686.9,2802.8,2989.8,3142.8,3313.9,NaN,NaN,3637.7,NaN,3833,3987.7,4147.4,4361.6,4483.4,4593.8,4777,NaN,4973.3,5131,5297.2,NaN,NaN,5627.4,NaN,5825.2,5983.6,6145.1,6361.9,6484.2,6593.5,6778,NaN,6974.7,7131,7296.6,NaN,NaN,7638.5,7771.7,7881.8,8067.8,NaN,8266.7,8424.6,8591.1,NaN,NaN,8936.7,9074.8,9185.5,9366.1,9520.8,9687.1,NaN,NaN,10010,NaN,10206,10367,10543,10763,10892,11003,11213,11367,11480,11654,NaN,11852,12012,12185,NaN,NaN,12515,NaN,12716,12882,13091,NaN,NaN,13446,13599,13709,13895,NaN,14096,14258,14433,14652,14779,14890,15074,NaN,15275,15514,15700,15813,16011,16170,16336,NaN,NaN,16710,16849,16962,17153,NaN,17354
2072.5,2251.5,2415.2,2603.8,2764.9,2926.8,3089.7,3244.9,NaN,NaN,3574.2,NaN,3786,3951,4086,4322.1,4441.9,4561.5,4715.9,NaN,4925.6,5095.7,5238.4,NaN,NaN,5559,NaN,5777.6,5925.7,6079.8,6323,6433.7,6560.7,6719.4,NaN,6925.8,7075,7229.1,NaN,NaN,7554.3,7729.2,7846.6,8020.2,NaN,8217.8,8373.2,8530.1,NaN,NaN,8852.1,9022.9,9152.2,9314,9463.6,9619.9,NaN,NaN,9948.8,NaN,10159,10331,10469,10723,10851,10973,11129,11285,11447,11598,NaN,11802,11956,12109,NaN,NaN,12445,NaN,12666,12822,12984,NaN,NaN,13354,13534,13676,13830,NaN,14046,14221,14357,14611,14737,14852,15013,NaN,15225,15376,15593,15780,15939,16113,16280,NaN,NaN,16597,16797,16926,17088,NaN,17302,17448
