n,n,n,n,n,n,e,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1994.9,2420.1,2562.8,2771.1,2914,3060.3,3189.5,3408.4,3522,3684.3,3805.2,4001,4153.6,4262.9,4459.8,4589.2,4697.1,4869,5019.4,5183.3,NaN,NaN,5492.9,NaN,5684.6,5834.8,5990.5,6199.2,6316.5,6423.4,6601.2,6758.8,6925.8,NaN,NaN,7245.1,NaN,7437.4,7588.9,7750.5,7960.3,8079,8185.7,8375.9,8506.1,8615.2,8794.2,8944.9,9101.8,NaN,NaN,9418.7,NaN,9610.7,9767,9919.6,10132,10250,10358,10532,10686,10850,NaN,NaN,11170,NaN,11366,11521,11679,11892,12010,12118,12295,NaN,12493,12650,12826,NaN,NaN,13169,13297,13406,13582,13738,13903,NaN,NaN,14225,NaN,14422,14580,14746,14962,15083,15194,15375,NaN,15570,15728,15912,NaN,NaN
2044.9,2473.9,2653.4,2840.5,2982.7,3129.6,3292.8,3480.2,3623.5,3756.8,3913.2,4073.4,4223.8,4380.1,4535.8,4664.3,4814.8,4967.6,5116.4,NaN,NaN,5433.9,NaN,5635.6,5799.3,5934.9,6159.7,6268.9,6391.2,6538.3,6706.5,6857.1,NaN,NaN,7179.8,NaN,7389.8,7537.6,7684,7924.2,8031.8,8156.5,8295.1,8446.5,8580.3,8734.7,8891.5,9041.3,NaN,NaN,9352.5,NaN,9563.4,9711.3,9860.2,10095,10202,10323,10474,10631,10782,NaN,NaN,11102,NaN,11317,11459,11612,11851,11962,12081,12235,NaN,12439,12590,12750,NaN,NaN,13083,13237,13371,13526,13681,13838,NaN,NaN,14161,NaN,14370,14520,14674,14918,15030,15157,15312,NaN,15520,15670,15824,NaN,NaN,16163
