n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1994.1,2138.9,2369.5,2609.3,2784.6,2903.4,3131.9,3326.8,3464.6,3681.6,3846.8,3971.1,4159.6,4314.2,4485.5,NaN,NaN,4822.3,NaN,5026.5,5187.5,5358.7,5583.4,5707.5,5829.6,6023.4,NaN,6232.6,6392.4,6576.9,6799.8,6927.6,7040.7,7289.6,7432.3,7543.5,7726.8,7879.8,8051.9,NaN,NaN
2053.7,2191.6,2426.9,2676.9,2847.7,3002.2,3202,3395.5,3570.6,3752.4,3917.4,4087.3,4251.6,4412.1,NaN,NaN,4738.7,NaN,4973.3,5126.8,5294.6,5539.2,5666.5,5781.1,5950.2,NaN,6179,6331.9,6505.9,6752,6872,7001.5,7166.1,7355.7,7506.9,7665.9,7824.8,7979.9,NaN,NaN,8308.1
