n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n
1834.8,1988.6,2145.5,2343.2,2522.2,2660.7,2904.8,3080.1,3210.9,3433.3,3603.8,3722.7,3928.9,4087.7,4203.1,4393.7,4548.7,4710.7,NaN,NaN,5046.8,NaN,5250.1,5407.6,5575.2,5797,5927.7,6041.8,6254.1,6396.9,6512.1,6697.3,6852.6,7020.6,NaN,NaN,7361.8,NaN,7565,7723.8,7896.1,8120.5,8248.6,8364,8583.9,8737.4,8851.1,9043.3,9203.3,9364.8,NaN,NaN,9702.7,NaN,9906.4,10069,10238,10459,10592,10711,10902,NaN,11112,11276,11453,11688,11844
1874,2046.3,2190.3,2406,2586.2,2763.6,2976.7,3152.5,3320,3508,3679.7,3850.2,4000.8,4163.9,4323.9,4501.9,4649.7,NaN,NaN,4966.1,NaN,5198.8,5352.9,5503.5,5756.5,5868.6,6002,6163.6,6320.9,6470.9,6635.8,6802.3,6950.2,NaN,NaN,7276.3,NaN,7510.7,7663.4,7821.8,8075.7,8202.9,8325.6,8486.2,8652.8,8815.1,8977.6,9148.4,9299.8,NaN,NaN,9630.2,NaN,9855.4,10007,10170,10416,10533,10668,10837,NaN,11053,11234,11373,11639,11728,11912
