n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,n,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p
1994.8,2165.1,2300.5,2524.7,2681.3,2798.8,2978.9,3130.5,3289.8,NaN,NaN,3606.3,NaN,3801,3956.1,4114.9,4327.5,4450,4560.2,4735.2,4890.1,5048,NaN,NaN,5368.3,NaN,5565.2,5718.3,5889.3,6106.2,6226.5,6337.2,6513,NaN,6710.1,6866.2,7027.1,7241.8,7363.2,7475.1,7657.9,7812.3,7976.6,NaN,NaN,8315.2,NaN,8511.6,8672.4,8844.3,9062.2,9185.8,9297.9,9478.4,9636.1,9804.3,NaN,NaN,10144,10283,10394,10576,10734,10903,NaN,NaN,11248,11387,11499,11680,11837,12004,12226,12352,12464,12645,NaN,12845,13007,13180,NaN,NaN,13537,13689,13801,13990,NaN,14192,14380,14505,14644,14755,14938,15097,15270,NaN,NaN,15634,15786,15898,16085,NaN,16285,16461,16676,NaN,NaN
2060.5,2240.4,2409.2,2597.6,2756.2,2918.9,3073.7,3230.5,NaN,NaN,3547,NaN,3753.2,3924.1,4051,4291.5,4413.6,4528,4678.5,4854.2,4989.4,NaN,NaN,5306.4,NaN,5515.7,5661.5,5812.9,6064.1,6178.5,6303.2,6452.1,NaN,6660.1,6830.5,6975.7,7204.8,7316.2,7435.5,7607.5,7779,7915.9,NaN,NaN,8234.8,NaN,8463.2,8613.6,8773,9022.9,9143.7,9263,9422.6,9577.5,9737.4,NaN,NaN,10064,10235,10358,10511,10679,10829,NaN,NaN,11157,11338,11463,11622,11787,11942,12183,12312,12430,12591,NaN,12796,12974,13106,NaN,NaN,13442,13626,13767,13928,NaN,14140,14292,14436,14593,14722,14884,15037,15198,NaN,NaN,15528,15724,15866,16022,NaN,16235,16387,16562,NaN,NaN,16925
