n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1993.6,2142.4,2369.7,2520.7,2670.8,2827.8,3070.7,3248.4,3393.7,3625.5,3825.7,3950.6,4145.2,4300.6,4465.8,NaN,NaN,4961.9,5122.5,5243.6,5436.4,5594.2,5779.6,NaN,NaN,6125.3,NaN,6334.7,6496.4,6673.8,6899.7,7029.8,7143,7327.2,NaN,7531.4,7692.5,7862.8,8084.6,8220.1,8337.2,8534.7,NaN,8736.9,8898.2,9073.2,NaN,NaN,9424.3,9564.2,9679.3,9863.7,10021,10193,10413,10541,10655,10870,11012,11126,11310,11469,11649,NaN,NaN,11992,NaN,12196
2053.6,2196.1,2438,2578.9,2737.9,2933.5,3138,3319.5,3501.1,3692.7,3899.4,4071.1,4243.3,4397.9,NaN,NaN,4724.6,5040,5202.1,5363.1,5526.2,5695.6,NaN,NaN,6035.2,NaN,6277.2,6436.2,6594.5,6855.6,6971,7102.3,7261.7,NaN,7480.5,7635.6,7791.7,8043,8155.2,8296.5,8460.8,NaN,8682.8,8842,8994,NaN,NaN,9330,9493.8,9637.8,9797.6,9965.1,10122,10371,10488,10616,10774,10938,11086,11248,11418,11571,NaN,NaN,11910,NaN,12141,12292
