l,l,l,r,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,x,y,l,r,r,w,l
1990.5,4229.6,4770.2,5094.5,5259.7,5522,5680.7,5834.9,5904,5969.6,6067.8,6171.5,6238.2,6526.7,6698.2,6876.7,7032.3,7186.2,7255.3,7321.3,7419.8,7524.3,7592,7881,8057.6,8212.9,8367.1,8434.9,8501.7,8601.6,8705.6,8771.7,9056.4,9197.8,9373.7,9567.5,10090,10270,10628
2058.3,4302,4913,5160,5395.3,5582.1,5760.1,5883.6,5954.2,6032,6136.9,6231.7,6391.9,6593.1,6769.7,6943.4,7109.5,7236.8,7308.4,7383.4,7489.3,7582,7745.3,7951.2,8125.6,8287.9,8418,8488,8564.1,8671.2,8764.2,8923.1,9174.5,9259.9,9441.7,9633,10153,10472,10712
