l,w,r,w,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,l,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c
3060.3,3322.9,3627.8,3866.9,4093.5,4400.2,4563.6,4714,4782,4847.8,4953.5,5051.1,5122.6,5428.4,5601.6,5757.1,6121.6,6270.6,6422,6489.4,6555.6,6661,6761.3,6837.4,7105.6,7251.7,7439.5,7612.6,7952.2,8101.4,8256.9,8325.2,8391.6,8496.5,8597.2,8667.6,8998.5,9150.1,9356.5,9685.7,9840.9,9994.8,10063,10131,10237,10338,10409,10675,10824,11014,11208,11358,11519,11588,11656,11761,11862,11932
3163,3488.4,3745.7,3999.8,4263.8,4455.8,4630.8,4766.7,4833.1,4912.7,5011.4,5109.8,5269.5,5482.9,5664.7,5990,6180,6342.6,6469,6542.5,6621.1,6725.2,6819.8,6978.4,7229.5,7311.7,7503.7,7814.8,8009.2,8170.4,8305.7,8379.1,8455.8,8559.7,8653.2,8815.2,9063.3,9263.8,9553.1,9738.6,9908.8,10045,10116,10197,10293,10395,10555,10801,10881,11077,11267,11430,11573,11642,11718,11824,11920,12080
