w,w,r,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,w,w,r,w,r,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,O,w,r,p,d,d,d,p,a,c,r,w,w,r,l,r,p,d,d,d,p,a,c,r,l,w
1999,2340.8,2756.2,2923.6,3190.7,3350.1,3516.6,3585.6,3654.1,3754,3859.3,3926.9,4225.9,4395.1,4546.7,4874.3,5040.9,5199.8,5268.8,5337.1,5438.2,5544.5,5612.2,5886.7,6034.3,6223.7,6410.5,6565.6,6730.2,6799.3,7073.6,7222.1,7391.1,7591.2,7754.3,7914.1,7985,8054.9,8156.4,8262.6,8331.7,8721.4,8867.5,9054.7,9210.8,9482.1,9640.3,9799.4,9869.3,9937.6,10039,10145,10214,10501,10650,10842,11046,11854,12027,12463,12634,12841,13192,13359,13523,13593,13662,13763,13871,13939,14366,14516,14708,14932,15092,15252,15323,15392,15497,15606,15674,16035,16227,16599,16768,16936,17008,17077,17179,17289,17359,18186,18357,18576,19153,19312,19533,19691,19854,19926,19996,20100,20208,20277,20605,20777,20970
2154.2,2505.9,2821.4,3053.5,3256,3421.4,3565.1,3636.2,3716.4,3819.5,3919.4,4077.3,4290.7,4476.5,4745.9,4942.6,5117.8,5249.1,5319.9,5400,5509,5603.8,5763.1,6016.4,6095.3,6295.8,6478.7,6643.8,6791.1,6954.7,7202.6,7285.3,7465.1,7657.8,7831.7,7964.6,8037.8,8119.7,8227.8,8323.8,8486.9,8849.2,8929.2,9125.4,9347.9,9548.4,9718.1,9850.3,9922,10002,10108,10205,10369,10632,10711,10915,11249,11918,12146,12528,12742,13026,13261,13436,13572,13642,13727,13835,13932,14093,14495,14576,14781,14996,15169,15302,15376,15458,15568,15667,15829,16108,16376,16668,16848,16986,17060,17143,17251,17349,17516,18234,18485,18772,19208,19402,19596,19769,19905,19978,20060,20171,20268,20432,20669,20875,21082
