l,w,r,w,r,l,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
1984.5,2780.9,3052.7,3232.8,3553.7,3738.2,3927.9,4247.7,4409.4,4568.3,4639,4706.8,4807,4912,4979.7,5276,5453.5,5640.1,5798,5954.4,6024.9,6094.4,6195.1,6300,6368.3,6653.8,6829.8,7005.7,7336.9,7491.2,7650.3,7719,7786.1,7888,7992.1,8069.6,8352,8509,8658.1,8727.6,8978.9,9124.1,9296.8,9464.2,9777.7,9932,10091,10160,10228,10332,10439,10506,10812,10974,11120,11190,11484,11659,11852,12000,12142,12211,12475,12621,12814,13006,13167,13329,13401,13469,13570,13677,13746
2063.7,2921,3115.2,3406.3,3617.4,3839.7,4109,4311.3,4485.2,4617.6,4690.7,4771.3,4874.8,4970.6,5132.2,5341.3,5527.4,5706,5876.9,6004.5,6075.8,6158.7,6263.5,6361.4,6518.2,6717.7,6903.9,7209,7402.2,7569.1,7698.6,7771.2,7850.7,7957.7,8054.1,8214.1,8415.7,8580.5,8715.7,8880.7,9105.9,9188.2,9369.4,9646.2,9844.8,10009,10142,10212,10294,10404,10501,10659,10878,11048,11180,11349,11552,11731,11917,12081,12205,12365,12601,12685,12882,13074,13237,13381,13454,13532,13640,13736,13899
