l,l,w,r,w,r,p,d,d,d,p,a,c,r,w,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y
1985.8,2528.3,2850.5,3150.3,3315.4,3629.3,3791.5,3951.5,4020.9,4086.3,4184.3,4289.3,4355.4,4640.8,4817.3,4978.5,5326.9,5478.8,5638.3,5705.1,5772.8,5872.7,5974.8,6041,6365.6,6542.3,6733.3,7095.4,7250.9,7410.7,7478.5,7543.7,7644.1,7749.5,7815.2,8157.9,8301.2
2038.5,2571.4,3014.8,3216.5,3499,3696.6,3864.7,4000.2,4069.5,4147.8,4254.6,4348.5,4505.8,4707.2,4888.1,5211.5,5391,5553.8,5686.7,5756.3,5836.7,5939.3,6035.2,6191.8,6430.9,6614.6,6959.5,7161.3,7328.4,7460,7531,7609.1,7716.7,7809.7,7969.2,8284.5,8362.6
