l,l,w,w,r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,w,r,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,d,d,d,p,a,c,l,r,p,a,c,x,y,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,r,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c
2506.2,3222,3861.5,4487.3,4776.2,4956.9,5335.8,5497.9,5656.6,5726.1,5792.5,5894,5999,6067,6361.3,6536.6,6702.9,6771.6,6839.5,6940.9,7045.5,7113.4,7402.9,7564.1,7720.7,7788.3,7855.9,7957.1,8062.3,8130.5,8400.2,8547.7,8729.7,8921.5,9079.5,9239.9,9309.8,9378.9,9484.4,9584.2,9651.4,9957.3,10103,10358,10550,11085,11248,11501,11653,11809,11878,11947,12049,12153,12221,12485,12629,12808,13002,13158,13303,13381,13621,13769,13919,13987,14057,14159,14267,14335,14708,14898,15057,15209,15269,15551,15699,15868,15939,16007,16109,16215,16285,16560,16710,16905,17118,17272,17418,17492,17777,17926,18114,18312,18470,18632,18702,18772,18876,18983,19053,19473,20452,20641,21007,21169,21324,21394,21463,21566,21672,21742,22138,22287,22463,22621,22992,23158,23322,23393,23462,23566,23674,23748
2540.4,3287.2,4010.3,4609.5,4829.1,5131.3,5402,5567.8,5707.1,5774.9,5856.1,5962.1,6058,6218.9,6423.4,6614.6,6751.2,6822.7,6902.2,7009.2,7106.1,7265,7469.3,7640.4,7769.1,7840,7919.7,8024.6,8122.9,8282.6,8528.9,8609.8,8794.8,8984.3,9153.7,9290.2,9360.8,9441.6,9546,9643.6,9803.1,10086,10163,10424,10724,11137,11385,11564,11726,11857,11931,12010,12116,12214,12372,12612,12692,12879,13066,13232,13365,13522,13756,13826,13969,14040,14120,14225,14327,14485,14774,14959,15128,15260,15422,15682,15761,15917,15994,16071,16175,16277,16433,16691,16771,16974,17178,17349,17481,17643,17907,17991,18181,18376,18544,18681,18758,18839,18947,19043,19208,19604,20505,20811,21070,21237,21372,21447,21527,21633,21731,21894,22268,22346,22527,22821,23058,23231,23374,23447,23527,23635,23734,23899
