l,r,w,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,r,l,w
1994.2,2723.1,2939.7,3229.7,3385.9,3537.3,3605.6,3669.8,3770.3,3873.1,3947,4242.6,4418.6,4578.9,4733.8,4800.7,4866.8,4966,5067.6,5133.9,5452.2,5628.8,5797.8
2040.8,2772.2,3082.8,3283.1,3453.7,3582.7,3652,3731.6,3835.4,3931.2,4084.4,4307.8,4479,4651.8,4780.6,4852.8,4930.8,5032.4,5126.6,5283,5513.2,5694.7,5922
