l,l,w,w,r,w,r,w,w,r,p,d,d,d,r,a,c,x,w,w,r,l,r,p,d,d,d,p,a,c,r,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,r,w
1963.9,2928,3649.3,4055.2,4470.5,4646.8,5017.8,5185.5,5410.9,5769.2,5930.8,6099.8,6168.8,6236.1,6337.4,6442.3,6510.4,6926.3,7141,7329,7670.4,7959.8,8152.2,8309.5,8465.3,8534.6,8602.6,8705.2,8811.5,8888.4,9220.1,9399.5,9583.2,10151,10308,10469,10538,10606,10709,10816,10883,11160,11306,11519,11719,11876,12693,12858
2033.9,2967.3,3773.5,4192.2,4527.3,4794.8,5079.5,5322.3,5579.4,5833.1,6007.1,6147.7,6217.4,6299.1,6404.3,6500.6,6662.6,7040.2,7252,7523.1,7737.5,8023.5,8216.8,8384.3,8515.4,8584.2,8666.9,8773.8,8870.1,9033.8,9287.6,9497.6,9799.7,10214,10384,10520,10588,10671,10779,10873,11041,11290,11366,11587,11787,11956,12759,13051
