l,l,l,w,r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,O,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y
2079.9,3521.2,4474.2,4817.6,5161.8,5333.1,5609.8,5772.3,5928.7,5997.2,6062.5,6161.5,6264.3,6330.8,6622.2,6784.6,6941.4,7009.5,7076.2,7175.3,7278.4,7344.7,7646,7808.3,8022.1,8240.2,8558,8713.6,8866.3,8934.8,9003,9103.4,9208.4,9275.5,9548.6,9691.9,9881.8,10073,10230,10386,10455,10521,10624,10727,10794,11066,11206,11376,11567,11724,11882,11951,12018,12119,12224,12293,12563,12709,12896,13107,13266,13407,13476,13742,13889,14070,14264,14424,14591,14659,14728,14828,14936,15004,15296,15443,15661,15878,16042,16199,16268,16336,16438,16545,16614,17308,17481,17849,18004,18168,18239,18502,18649,18867,19085,19242,19384,19457,19734,19884,20077,20278,20430,20590,20661,20730,20832,20938,21007,21464,21615
2114,3571.7,4540.9,4983,5219.5,5479.9,5677.5,5851.9,5978,6047,6123.2,6229.2,6323,6482,6687.3,6859,6990.5,7060.3,7138.4,7241.8,7336.5,7496.2,7712.6,7874.2,8158.1,8430.8,8621.8,8787.2,8913.7,8983.8,9065.3,9172.1,9265.4,9420.7,9677.8,9756.5,9949.1,10141,10301,10435,10506,10586,10693,10787,10941,11192,11268,11451,11636,11800,11933,12003,12082,12188,12286,12446,12697,12776,12968,13173,13343,13470,13630,13876,13953,14145,14332,14502,14641,14710,14793,14898,14996,15157,15429,15508,15729,15944,16115,16250,16323,16401,16508,16607,16767,17368,17689,17916,18081,18229,18391,18631,18710,18935,19152,19319,19450,19611,19870,19948,20148,20343,20511,20642,20714,20799,20902,21000,21162,21596,21679
