r,w,r,w,r,p,d,d,d,p,a,c,w,l,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,r
1996.3,2203.3,2492.9,2671.4,3062.6,3218.1,3367.3,3434.7,3501.1,3601.6,3699.9,3774.2,4080.4,4193.9,4329.9,4549.3,4699.3,4849,4917.8,4981.5,5086.5,5182.4,5250.7,5515.1,5658.2,5831.8,6011.2,6176.2,6335.9,6401.8,6469.5,6573.9
2042.2,2351.5,2546.2,2865.1,3118.8,3285,3414.6,3486.3,3563.6,3665.3,3757.3,3917.1,4119.2,4256.4,4433.7,4607.8,4766.8,4899.7,4970.3,5046.1,5146.5,5239.9,5397.4,5637.8,5712.7,5894.2,6072.7,6246.8,6386.1,6453.7,6533.7,6630.6
