l,l,r,w,r,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,p,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,l,l,w,r,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,x,r,w,r,p,d,d,d,p,a,c,r,w,r,w,r,p,d,d,d,p,a
1990.3,2593.9,2945.4,3115.2,3417.2,3610.2,3915.5,4082.4,4245,4312.8,4379.2,4476.7,4581,4650.6,4982.4,5166.5,5445.4,5615.3,5786.2,5855.5,5922.8,6023,6124.6,6191,6617.3,6780.9,6954.8,7153.4,7508.9,7668.8,7826.1,7894.5,7960.8,8059.9,8163.7,8231.3,8505.6,8649,8842.5,9033.6,9191.3,9351.1,9419,9486.3,9587,9689.3,9756.2,10051,10193,10389,10598,10752,10906,10974,11253,11397,11624,11835,12000,12322,12786,12944,13856,14028,14330,14490,14647,14716,14782,14884,14992,15059,15383,15525,15710,15906,16065,16233,16302,16370,16474,16579,16646,16989,17137,17525,17689,17952,18107,18282,18351,18417,18521,18628,18695,19359,19572,20496,20671,20976,21143,21304,21372,21441,21541,21649
2061,2703.8,2998.3,3266.8,3477.7,3706.1,3978.3,4150.3,4291.9,4361.2,4439.3,4543.5,4640,4799.6,5049.8,5235.3,5509.9,5687.2,5836.4,5905.8,5986.2,6089.4,6184.4,6340.7,6678.8,6856.5,7071.3,7378.4,7574,7742.5,7874.7,7945.4,8025,8127.7,8224.2,8384.1,8636.2,8712.4,8910.7,9097.7,9266.6,9400.6,9470.3,9548.2,9654.6,9749.7,9908.3,10179,10254,10459,10664,10828,10965,11125,11380,11462,11690,11900,12073,12416,12849,13138,13921,14147,14396,14566,14696,14765,14847,14956,15051,15212,15509,15588,15782,15973,16142,16284,16353,16436,16542,16638,16799,17121,17199,17590,17819,18021,18182,18331,18400,18485,18591,18687,18853,19415,19747,20563,20800,21045,21218,21352,21422,21503,21610,21702
