l,w,w,w,r,w,r,l,w,r,p,d,d,d,p,a,c,r,p,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,r,w,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,r,l,r,p,d,d,d,p,a,c
3331.3,3488.8,3919.1,4392.4,4820.6,5022,5303.6,5484.8,5674.5,6019.4,6184.5,6343.1,6413.8,6483,6585.8,6690.4,6760.1,7054.2,7246.7,7393.3,7632.3,7791.8,7948.7,8018.9,8090,8192.2,8299.9,8370.7,8631.2,8777.7,8965.9,9175.3,9345.5,9508.2,9578.2,9647,9749.4,9857.8,9926.9,10216,10365,10567,10760,10926,11089,11161,11230,11336,11442,11512,11879,12078,12315,12485,12700,13041,13195,13359,13431,13502,13605,13713,13783,14082,14233,14457,14649,14895,15071,15241,15312,15383,15491,15595,15664,15956,16108,17068,17225,17461,17625,17793,17865,17935,18041,18147,18217
3368,3621.3,4064.7,4537.6,4876.3,5151.2,5367.6,5592.9,5884.9,6088.7,6257.6,6394.1,6464.2,6548.3,6654.8,6751.3,6912.8,7120.4,7308.3,7508,7700.3,7867.6,8000.5,8070.8,8153.4,8262.8,8361.3,8523.3,8757,8840.8,9040.1,9240.8,9421.1,9561.3,9629.8,9711,9817.2,9916.8,10080,10347,10429,10637,10830,11005,11142,11213,11296,11405,11498,11668,11944,12158,12382,12609,12903,13108,13272,13409,13486,13567,13674,13775,13931,14214,14297,14525,14758,14961,15151,15292,15365,15449,15557,15654,15817,16095,16171,17125,17325,17530,17698,17844,17917,18001,18112,18208,18372
