w,r,w,r,w,r,p,d,d,d,p,a,c,r,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c
4552.3,4866.1,5032.9,5279.6,5459.5,5677.8,5829.1,5982.7,6052.2,6117.2,6221,6320.8,6392.8,6678,6848.9,7022.8,7343.6,7503.8,7655.3,7723.2,7790.3,7892.9,7987.5,8057.2,8327.2,8468.5,8652.2,8833.9,8982.6,9124.1,9195.1,9437,9583.3,9760.2,9914.9,10151,10306,10455,10522,10590,10693,10791,10862,11133,11278,11459,11664,11810,11953,12023,12280,12427,12611,12807,12956,13099,13172,13444,13594,13785,13974,14122,14269,14340,14607,14755,14944,15156,15307,15464,15531,15599,15706,15805,15878,16534,16695,16938,17094,17243,17311,17380,17484,17584,17660
4707.3,4953.2,5148.9,5336.7,5561.8,5734.8,5893.7,6030.4,6103.8,6181.1,6284.5,6376.6,6536.2,6735.9,6943.9,7211.4,7398.2,7576.8,7704.1,7771.4,7851.9,7951.9,8045.2,8202.4,8448.8,8522.6,8713,8889.8,9051.4,9183.1,9343,9556.9,9638.3,9824.2,10024,10208,10373,10507,10572,10650,10749,10850,11006,11258,11337,11521,11720,11887,12010,12172,12408,12484,12671,12861,13025,13159,13318,13571,13650,13850,14034,14199,14330,14489,14739,14814,15009,15212,15381,15514,15586,15665,15770,15864,16019,16582,16790,16995,17164,17290,17364,17444,17548,17645,17802
