l,l,w,w,r,w,r,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,r,w,r,w
1993.9,2783.2,3166.9,3638.2,4054.5,4221.5,4566.6,4758.3,4998.9,5161.4,5322.8,5392,5459.7,5559.5,5664.2,5733.2,6068.9,6233.5,6410.9,6741.3,6900.6,7059.6,7130.2,7197.5,7298.8,7405.9,7472.8,7757.3,7903.5,8095.8,8290.6,8448,8612.2,8681.9,8749.5,8852.6,8957.9,9035,9574.9,9731.9,10010,10167,10328,10398,10466,10569,10676,10744,11033,11177,11387,11584,11741,11909,11978,12045,12147,12253,12331,12610,12758,12992,13222,13383,13552,13623,13694,13795,13903,13972,14486,14658,14901,15056,15218,15289,15357,15460,15568,15636,16456,16639,17153,17316,17481,17551,17620,17723,17831,17901,18603,18766,19576,19739
2036.9,2821.9,3313.6,3771.1,4109.2,4375.4,4623.6,4862.9,5056.7,5232.4,5371,5441,5523.9,5626.1,5723.1,5885.9,6130,6325.4,6611.1,6806.4,6977.5,7109.7,7180.8,7259.8,7366.1,7464.1,7627.3,7880.5,7964.5,8165.4,8353.8,8523.8,8661.3,8734.1,8814,8917.9,9013.8,9179,9630,9868.2,10077,10244,10376,10451,10532,10638,10734,10898,11157,11239,11453,11649,11817,11958,12029,12109,12215,12312,12476,12743,12826,13060,13286,13462,13603,13676,13756,13865,13963,14126,14552,14749,14965,15131,15270,15342,15422,15530,15628,15790,16520,16839,17216,17390,17531,17603,17684,17791,17892,18055,18665,18885,19639,19919
