l,w,r,w,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c
3252.2,3431.1,3749.2,3910.6,4181.5,4345.4,4523.3,4819.1,4969.5,5120.3,5187.8,5255,5354.2,5456.9,5523.2,5775.4,5912.2,6088.6,6256.2,6410.9,6563.1,6632.1,6698.6,6799.3,6901.8,6969.3,7232,7376.9,7569,7755.5,7913.4,8078.4,8146.2,8213.7,8312.7,8417.2,8487.4,8753.6,8897.8,9084.2,9272.6,9423.2,9576.3,9643,9710.2,9811.3,9914.4,9981.9,10274,10420,10616,10814,10967,11116,11184,11444,11591,11793,11973,12125,12268,12337,12603,12748,12929,13121,13274,13432,13501,13570,13675,13775,13844,14281,14424,14633,14829,14987,15145,15213,15283,15388,15498,15561
3292.8,3580.4,3804.2,4055,4238.6,4443.5,4691.3,4880.3,5043.4,5168.7,5236.8,5316.5,5417.6,5517.1,5675,5891.5,5972.3,6154.6,6320.8,6481.1,6611.6,6682.7,6761.2,6864.4,6959.5,7118,7359.1,7437.6,7632.7,7812.3,7983.8,8124.8,8197.3,8277.6,8378.6,8472.7,8634.4,8883.4,8957.2,9149.4,9330.4,9497,9623.8,9694.6,9773.9,9877.2,9973.2,10132,10408,10482,10685,10877,11039,11174,11333,11575,11652,11858,12040,12205,12329,12487,12731,12811,12996,13184,13350,13483,13556,13633,13737,13836,13994,14410,14484,14700,14894,15061,15195,15267,15347,15449,15548,15705
