l,w,r,w,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c
1987.1,2479.9,2860.9,3031.8,3369.9,3530.2,3691.4,3760.3,3828.9,3928.2,4032.4,4099.8,4381.8,4563.4,4720.7,4877.2,4946.2,5013.3,5116.9,5219.8,5289,5585.2,5748,5901.8,6251.1,6404.4,6559.5,6628.8,6699,6798.4,6902.8,6971.2,7249.7,7392.3,7558.4,7745.8,7900,8056.5,8126.1,8193.6,8300.8,8401.3,8468.6,8779.3,8960.8,9162.3,9311.1,9452.1,9522.1,9832.7,9978.7,10176,10366,10517,10673,10742,10812,10915,11021,11090,11382,11544,11701,11770,12027,12173,12343,12533,12688,12845,12914,13198,13347,13548,13732,13891,14048,14117,14186,14289,14394,14462,14813,14964,15130,15199,15269,15372,15478,15548,15947,16093,16284,16451,16778,16937,17102,17174,17244,17346,17453,17522,18093,18276,18732,18890,19056,19127,19197,19301,19410,19479
2061.5,2643.3,2919.9,3222.9,3427.7,3599.3,3740.8,3811.4,3890.5,3996.3,4088.8,4251.8,4449,4621.7,4793.6,4926,4999.7,5079.6,5182.1,5279,5440.9,5642,5823.2,6102.6,6314.9,6476.2,6609.7,6682.9,6760.2,6866.4,6958.4,7122.5,7377.2,7452.4,7625.5,7805,7975.5,8108.1,8179.3,8258,8364.4,8457.8,8623,8842.5,9046.5,9228.4,9387.2,9515.3,9676.8,9964.4,10041,10245,10431,10591,10721,10792,10875,10984,11082,11242,11444,11620,11761,11924,12156,12235,12411,12596,12764,12903,13070,13330,13408,13612,13795,13965,14098,14169,14251,14358,14453,14615,14872,15039,15179,15253,15333,15437,15540,15704,16074,16153,16353,16636,16842,17012,17150,17227,17309,17415,17514,17677,18155,18480,18797,18966,19105,19179,19263,19374,19472,19638
